first_name,last_name,company_website,Company Name,Full Name,Job Title,Location,LinkedIn Profile
Shanee,Moret,growthacademy.global,Growth Academy,Shanee Moret,Founder,"West Palm Beach, Florida, United States",https://www.linkedin.com/in/shane%c3%a9-moret-581688106/
Tim,O'Reilly,oreilly.com,O'Reilly,Tim O'Reilly,"Founder, chairman and CEO","Sebastopol, California, United States",https://www.linkedin.com/in/timo3/
Chris,Do,thefutur.com,The Futur,Chris Do,"Founder, CEO","Pasadena, California, United States",https://www.linkedin.com/in/chris-do-b352641/
Sal,Khan,khanacademy.org,Khan Academy,Sal Khan,Founder,"San Francisco Bay Area, United States",https://www.linkedin.com/in/khanacademy/
Alex,Freberg,analystbuilder.com,Analyst Builder,Alex Freberg,Founder & CEO,"Charleston, South Carolina Metropolitan Area",https://www.linkedin.com/in/alex-freberg/
Freddy,Vega,platzi.com,Platzi,Freddy Vega,CEO,"San Francisco, California, United States",https://www.linkedin.com/in/johnfreddyvega/
Josh,Braun,joshbraun.com,Braun Training,Josh Braun,Founder,"Boca Raton, Florida, United States",https://www.linkedin.com/in/josh-braun/
Kodjo,Hounnake,kodjoe.com,KodjoEnglish,Kodjo Hounnake,Founder & CEO,"New York, New York, United States",https://www.linkedin.com/in/kodjo-hounnake-0b635a7b/
John,Marty,johnraphaelmarty.com,Mindset Reset Podcast,John Marty,Founder,"Seattle, Washington, United States",https://www.linkedin.com/in/johnrmarty/
Dhaval,Patel,codebasics.io,Codebasics,Dhaval Patel,Founder @ Codebasics,"Princeton, New Jersey, United States",https://www.linkedin.com/in/dhavalsays/
Chris,Orlob,pclub.io,pclub.io,Chris Orlob,Co-Founder & CEO,"Corona del Mar, California, United States",https://www.linkedin.com/in/chris-orlob-545a915b/
Neal K.,Davis,digitalcloud.training,Digital Cloud Training,Neal K. Davis,Founder of Digital Cloud Training,"Miami, Florida, United States",https://www.linkedin.com/in/nealkdavis/
Vishen,Lakhiani,mindvalley.com,Mindvalley,Vishen Lakhiani,Founder & CEO,Los Angeles Metropolitan Area,https://www.linkedin.com/in/vishen-lakhiani-1943a1/
Ramit,Sethi,iwillteachyoutoberich.com,I Will Teach You To Be Rich,Ramit Sethi,"Founder and author of the New York Times best-selling book, ""I Will Teach You To Be Rich""",United States,https://www.linkedin.com/in/ramitsethi/
Eyitayo,Ogunmola,utiva.co,Utiva,Eyitayo Ogunmola,Founder,"New York, New York, United States",https://www.linkedin.com/in/eyitayoogunmola/
Jim,Kwik,,Kwik Brain,Jim Kwik,Founder,"New York, New York, United States",https://www.linkedin.com/in/jimkwik/
Daphne,Gomez,teachercareercoach.com,Teacher Career Coach ,Daphne Gomez,Founder | CEO,Los Angeles Metropolitan Area,https://www.linkedin.com/in/daphne-williams2/
Varun,Negandhi,beyondgrad.com,Beyond Grad,Varun Negandhi,Founder,"Detroit Metropolitan Area, United States",https://www.linkedin.com/in/vnegandhi/
Jhankar,Mahbub,programming-hero.com,Programming Hero,Jhankar Mahbub,Chief Executive Officer,"Austin, Texas, United States",https://www.linkedin.com/in/jhankar/
Lesley,Osborn,start.page,"Lesley Osborn Canine Consulting, LLC",Lesley Osborn,Founder & Consultant,"Ocala, Florida, United States",https://www.linkedin.com/in/lesley-osborn/
Taha,Hussain,,Taha's Method,Taha Hussain,CEO,"San Francisco, California, United States",https://www.linkedin.com/in/tahahussain/
Gagan,Biyani,maven.com,Maven,Gagan Biyani,CEO and Co-Founder,"Oakland, California, United States",https://www.linkedin.com/in/gagan-biyani-05821913/
Kevin,Markham,dataschool.io,Data School,Kevin Markham,Founder,"Asheville, North Carolina, United States",https://www.linkedin.com/in/justmarkham/
Blake,"Oliver, CPA",earmarkcpe.com,Earmark,"Blake Oliver, CPA",Founder & CEO,"Scottsdale, Arizona, United States",https://www.linkedin.com/in/blaketoliver/
Stephanie,Yesil,elevated.careers,Elevated Careers,Stephanie Yesil,Founder,"Charlotte, North Carolina, United States",https://www.linkedin.com/in/stephanieyesil/
Maggie,Olson,novachiefofstaff.com,Nova Chief of Staff,Maggie Olson,"Owner | Founder, Team Trainer, Consultant, Coach, Speaker","Lincoln, Nebraska Metropolitan Area",https://www.linkedin.com/in/maggie-olson-cos/
Tim,Slade,elearningacademy.io,The eLearning Designer's Academy,Tim Slade,Founder,"Phoenix, Arizona, United States",https://www.linkedin.com/in/sladetim/
Dean,Graziosi,,Mastermind.com,Dean Graziosi,Co-Founder,"Scottsdale, Arizona, United States",https://www.linkedin.com/in/deangraziosiinc/
Max,Simon,green-flower.com,Green Flower,Max Simon,CEO & Co-Founder,"Ojai, California, United States",https://www.linkedin.com/in/max-simon-b51161156/
Dr Miquel ,Noguer i Alonso,aifinanceinstitute.com,AIFI - Artificial Intelligence Finance Institute,Dr Miquel Noguer i Alonso,Founder at Artificial Intelligence Finance Institute,"New York, New York, United States",https://www.linkedin.com/in/dr-miquel-noguer-i-alonso-7242345/
Chris,Haroun,harounmba.com,Haroun Education Ventures,Chris Haroun,Founder & Managing Partner,San Francisco Bay Area,https://www.linkedin.com/in/charoun/
Brad,Lea,lightspeedvt.com,LightSpeed Virtual Training,Brad Lea,Chairman & CEO,"Las Vegas, Nevada, United States",https://www.linkedin.com/in/bradlea/
Ravi,Mehta,outpace.co,Outpace,Ravi Mehta,Co-Founder and CEO,"Los Angeles, California, United States",https://www.linkedin.com/in/ravi-mehta-044b71/
Krishna,Kumar,simplilearn.com,Simplilearn,Krishna Kumar,Founder and CEO,United States,https://www.linkedin.com/in/tukrishna/
Lesley Jane,Seymour,,CoveyClub.com,Lesley Jane Seymour,CEO,"New Orleans, Louisiana, United States",https://www.linkedin.com/in/lesleyjaneseymour/
Amy,Porterfield,amyporterfield.com,Amy Porterfield LLC,Amy Porterfield,CEO And Podcast Host of Online Marketing Made Easy,"Nashville, Tennessee, United States",https://www.linkedin.com/in/amyporterfield/
Mansour Farhat (फरहात فرحات),"CPA, CIA, CGMA, MAcc",farhatlectures.com,Farhat Accounting Lectures,"Mansour Farhat (फरहात فرحات) CPA, CIA, CGMA, MAcc",CEO and Founder of Farhat Accounting Lectures,"Greater Philadelphia, United States",https://www.linkedin.com/in/professorfarhat/
Dr. Nancy,Li,pmaccelerator.io,Product Manager Accelerator,Dr. Nancy Li,Founder,"Miami, Florida, United States",https://www.linkedin.com/in/drnancyli/
Tal,Ben-Shahar,happinessstudies.academy,Happiness Studies Academy,Tal Ben-Shahar,Co-Founder,"Brooklyn, New York, United States",https://www.linkedin.com/in/tal-ben-shahar-09943aa7/
Kat,Weaver,powertopitch.com,Power To Pitch,Kat Weaver,Chief Executive Officer,"Dallas, Texas, United States",https://www.linkedin.com/in/katweaver/
Simon,Schurr,medisolutions.healthcare,MediSolutions,Simon Schurr,Chief Executive Officer,"New York, New York, United States",https://www.linkedin.com/in/simon-schurr-36693/
Brad,Sugars ActionCOACH,bradsugars.com,Brad Sugars,Brad Sugars ActionCOACH,Founder,"Las Vegas, Nevada, United States",https://www.linkedin.com/in/brad-sugars-chairman-of-actioncoach-91a964/
Catherine,B. Roy ,lhmacademia.com,Catherine B. Roy LLC,Catherine B. Roy ,CEO and Founder,"Lewes, Delaware, United States",https://www.linkedin.com/in/catherinebroy/
Seth,Garber,pestdaily.com,Pest Daily,Seth Garber,CEO,"Tampa, Florida, United States",https://www.linkedin.com/in/seth-garber-54036510/
"Robin Sargent, Ph.D.",Instructional Designer-Online Learning,idolcourses.com,IDOL courses,"Robin Sargent, Ph.D. Instructional Designer-Online Learning",Founder & Principal Systems Architect | IDOL Systems Consulting,"Atlanta, Georgia, United States",https://www.linkedin.com/in/robinsargent/
Satish,Mummareddy,,Crossing Career Chasms,Satish Mummareddy,Founder,"San Francisco, California, United States",https://www.linkedin.com/in/satishmummareddy/
Don,Sevcik,mathcelebrity.com,Math Celebrity,Don Sevcik,Founder,Greater Chicago Area,https://www.linkedin.com/in/donsevcik/
Ari,"Ginsberg, PT, DPT, MSIOP",communicatient.com,Communicatient,"Ari Ginsberg, PT, DPT, MSIOP",Founder,New York City Metropolitan Area,https://www.linkedin.com/in/ariginsbergdptmsiop/
Robert,Roy,wealthbuildershq.com,Wealth Builders HQ,Robert Roy,CEO,New York City Metropolitan Area,https://www.linkedin.com/in/wealthbuildershq/
Bhushan,Deshkar,bhushandeshkar.com,BHushan Deshkar Enterprise,Bhushan Deshkar,Founder & CEO,"Newark, New Jersey, United States",https://www.linkedin.com/in/bhushandeshkar/
Marc,Meinhardt,nucleuscourses.com,Nucleus,Marc Meinhardt,"Co-Founder, VP of Educational Partnerships","Los Angeles, California, United States",https://www.linkedin.com/in/marc-meinhardt-3011ab47/
Dr. Glenn,Thomas,heartsy.ai,heartsy,Dr. Glenn Thomas,Founder,Charlotte Metro,https://www.linkedin.com/in/glennathomasjr/
Shafiq,Khan,teachtheworldfoundation.com,Teach the World Foundation,Shafiq Khan,"President, CEO & Founding Partner","Gaithersburg, Maryland, United States",https://www.linkedin.com/in/shafiq-khan1/
Kari,Miranda,lebotanica.com,Luna Estrellas Botanica,Kari Miranda,Founder,"Jersey City, New Jersey, United States",https://www.linkedin.com/in/kmiranda999/
Roy,Scott,healthy.hiphop,Healthy Hip Hop,Roy Scott,CEO,United States,https://www.linkedin.com/in/royscottceo/
Artin,Bogdanov,sunapp.ai,SUN,Artin Bogdanov,"Co-Founder, CEO ",San Francisco Bay Area,https://www.linkedin.com/in/artinbogdanov/
Maria,Edelson,edelson.io,Edelson,Maria Edelson,Founder & CEO,"Larchmont, New York, United States",https://www.linkedin.com/in/maria-edelson-8a36984/
Julio,Castro,elearninginmotion.com,Elearning in Motion,Julio Castro,"Co Founder, Chief Elearning Engineer","Gainesville, Florida, United States",https://www.linkedin.com/in/jccv72/
Amy Mosher,Berry,visionsinternships.com,Visions Internships,Amy Mosher Berry,CEO & Founder,"Westborough, Massachusetts, United States",https://www.linkedin.com/in/amymosherberry/
Lee,Daley,hellogenius.com,Hello Genius,Lee Daley,"Co-Founder, Chairman & Chief Strategist","New York, New York, United States",https://www.linkedin.com/in/lee-daley-bb0919200/
Fred,Justo,just4veterans.com,Just4Veterans,Fred Justo,Chief Executive Officer,"Baton Rouge, Louisiana, United States",https://www.linkedin.com/in/fred-justo-1734b4211/
John (Jed),Savage,courus.ai,Courus,John (Jed) Savage,Co-Founder and CRO,"Stamford, Connecticut, United States",https://www.linkedin.com/in/jedsavage/
Dr. Maria Lorna Azul,Kunnath,elearnovate.com,MLAKedusoln eLearnovate,Dr. Maria Lorna Azul Kunnath,CEO/OWNER/FOUNDER,"Davis, California, United States",https://www.linkedin.com/in/mlornakunnath/
Rich,Preece,goguardian.com,GoGuardian,Rich Preece,CEO at GoGuardian,"San Diego, California, United States",https://www.linkedin.com/in/rich-preece-9a830582/
Kiran,Athota,focalpoint.education,FocalPoint Education,Kiran Athota,President & CEO,"Atlanta, Georgia, United States",https://www.linkedin.com/in/kiran-athota-b1126819/
Shreyans,Bhansali,maven.com,Maven,Shreyans Bhansali,"Co-Founder, CTO","New York, New York, United States",https://www.linkedin.com/in/shreyans-bhansali-5163064/
Kai,Roemmelt,udacity.com,Udacity,Kai Roemmelt,CEO and board member,"Dallas, Texas, United States",https://www.linkedin.com/in/kai-roemmelt-22b5a5/
Steven,"Chambers, Ed.L.D.",hmhco.com,Houghton Mifflin Harcourt,"Steven Chambers, Ed.L.D.",Strategic Advisor to the CEO,"Quincy, Massachusetts, United States",https://www.linkedin.com/in/stevengarychambers/
Brian,"Ables, PMP",,Capable Coaching,"Brian Ables, PMP",Founder & Career Transition Coach,"Oklahoma City, Oklahoma, United States",https://www.linkedin.com/in/brianables/
Ron,Zamir,allencomm.com,AllenComm,Ron Zamir,CEO,"Salt Lake City Metropolitan Area, United States",https://www.linkedin.com/in/rzamir/
Josh,"Yavelberg, PhD",flyingcloudsolutions.com,"Flying Cloud Solutions, LLC","Josh Yavelberg, PhD",Founder / Chief Solutions Architect,Washington DC-Baltimore Area,https://www.linkedin.com/in/joshyavelberg/
Kevin,Hu,firstly.pro,Firstly,Kevin Hu,CEO & Cofounder,"Jersey City, New Jersey, United States",https://www.linkedin.com/in/kevinqinhu/
Vihan,Moodi,vihland.com,Vihland,Vihan Moodi,Founder and CEO,"Los Angeles, California, United States",https://www.linkedin.com/in/vihanmoodi/
Stephen,Bailey,execonline.com,ExecOnline,Stephen Bailey,Co-Founder and Chief Executive Officer,"Miami, Florida, United States",https://www.linkedin.com/in/stephen-bailey-7bb5144/
Hany K.,Syed,lensofsport.com,Lens Of Sport,Hany K. Syed,Co-Founder & CEO,"Los Angeles Metropolitan Area, United States",https://www.linkedin.com/in/hany-k-syed-165b9631/
Nitin,Putcha,letsupgrade.in,LetsUpgrade,Nitin Putcha,Co-Founder,"Metropolitan, Michigan, United States",https://www.linkedin.com/in/nitinputcha/
Kairav,Joshi,chessuniversity.com,"Chess University, Inc",Kairav Joshi,President and CEO,Spokane-Coeur d'Alene Area,https://www.linkedin.com/in/kairavjoshi/
Linda,"Harvey, MS, HRM, DFASHRM",dentalcomplianceinstitute.com,Dental Compliance Institute,"Linda Harvey, MS, HRM, DFASHRM",Founder/Chief Knowledge Officer,"Saint Johns, Florida, United States",https://www.linkedin.com/in/lindaharveyrdh/
Michael,Paolucci,slooh.com,Slooh,Michael Paolucci,"CEO, Founder","Washington, Connecticut, United States",https://www.linkedin.com/in/michael-paolucci-0615639/
Alex,Gia,butwheretostart.com,ButWheretoStart,Alex Gia,Founder and Owner,"New York City Metropolitan Area, United States",https://www.linkedin.com/in/alex-gia-74a40082/
Meredith,Noble,learngrantwriting.org,Learn Grant Writing,Meredith Noble,Co-Founder & Visionary,"Anchorage, Alaska, United States",https://www.linkedin.com/in/meredith-noble-56999617/
Andrea,"Dottling, M.Ed.",idlance.com,IDLance,"Andrea Dottling, M.Ed.",Co-Founder,Greater Orlando,https://www.linkedin.com/in/andreadottling/
Daniel,Saavedra Aguirre,escueladeescritores.com,Escuela de Escritores,Daniel Saavedra Aguirre,Co Founder,"Greater Chicago Area, United States",https://www.linkedin.com/in/daniel-saavedra-aguirre-3050921b/
Milton,Ayala,rackupskills.com,Rack up Skills,Milton Ayala,Founder,"New York City Metropolitan Area, United States",https://www.linkedin.com/in/milton-ayala-b0b89a78/
Michela,Allocca,breakyourbudget.com,"Break Your Budget, LLC",Michela Allocca,Founder,"Chicago, Illinois, United States",https://www.linkedin.com/in/breakyourbudget/
Jeff,Scheur,noredink.com,NoRedInk,Jeff Scheur,"Founder, CEO","San Francisco, California, United States",https://www.linkedin.com/in/jeffscheur/
Dr. E. Imani,Mitchell,expertmommy.love,Expert Mommy,Dr. E. Imani Mitchell,Founder & CEO,"Brooklyn, New York, United States",https://www.linkedin.com/in/dr-e-imani-mitchell-032b4678/
Parker,Gentry,skillstruck.com,Skill Struck,Parker Gentry,Founder and CEO,Salt Lake City Metropolitan Area,https://www.linkedin.com/in/parker-gentry-b08500117/
Géraldine,G.,ofalycee.org,OFALYCÉE,Géraldine G.,Co-Founder/Head of School,"Winchester, Massachusetts, United States",https://www.linkedin.com/in/g%c3%a9raldine-guillermin-46b90210/
Carlo,"Raj, MD, CDO",indusintellect.com,INDUS INTELLECT LLC,"Carlo Raj, MD, CDO",Founder,"Tampa, Florida, United States",https://www.linkedin.com/in/carlo-raj-md-cdo-19040833/
Luis Alonso,Ubillas,kurios.la,KURIOS,Luis Alonso Ubillas,Co-Founder & COO,"Seattle, Washington, United States",https://www.linkedin.com/in/lubillas/
Henrik,Appert,magmamath.com,Magma Math,Henrik Appert,Founder & CEO,"New York, New York, United States",https://www.linkedin.com/in/henrik-appert-37823013/
Nancy,Barnett,el3hub.com,eL3 Hub,Nancy Barnett,CEO,Denver Metropolitan Area,https://www.linkedin.com/in/nancy-barnett-a2918916/
Ariel,Margolis,elearningsolved.com,E-Learning Solved,Ariel Margolis,Founder,"Greater Boston, United States",https://www.linkedin.com/in/ariel-margolis-11196167/
Melina,Cordero,p20workplace.com,P20 Leadership,Melina Cordero,Founder & Program Director,"Washington, District of Columbia, United States",https://www.linkedin.com/in/melinacordero/
Dr. Reginald,Bolding,mindspringintelligence.com,Mindspring Intelligence,Dr. Reginald Bolding,Founder & CEO,"Phoenix, Arizona, United States",https://www.linkedin.com/in/dr-reginald-bolding-14a26a52/
Emmanuel,Kaska,paradigmlabs.io,Paradigm Labs,Emmanuel Kaska,Cofounder & CEO,"Arlington, Virginia, United States",
Adam F.,"Simon,  PhD",bardsy.com,Bardsy,"Adam F. Simon,  PhD",Co Founder at Bardsy.com,"Calabasas, California, United States",https://www.linkedin.com/in/adam-f-simon-phd-466b497/
Jason,Berkowitz,arrowuptraining.com,ARROW UP TRAINING,Jason Berkowitz,Founder,"Los Angeles, California, United States",https://www.linkedin.com/in/jason-berkowitz-0bab3940/
Ekaterina,"Matveeva, Ph.D. (h.c.)",amolingua.com,Amolingua,"Ekaterina Matveeva, Ph.D. (h.c.)",Founder & CEO,"New York, New York, United States",https://www.linkedin.com/in/ekaterina-matveeva/